Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,24555,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,125,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,464,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1209,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,3575,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,8572,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,14936,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,17635,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,85+,17503,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory failure,J96,All ages,64021,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,9,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,30,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,73,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,181,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,425,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,776,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1005,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1278,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All ages,3777,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,23,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,59,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,143,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,353,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,872,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1429,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,1793,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2007,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,6679,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,19,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,118,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,532,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,1766,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,4938,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,8998,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,11232,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,13153,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,40757,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,2,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,28,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,110,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,500,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,1928,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,4358,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,6391,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,7753,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,21071,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,58,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,212,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,543,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1518,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3382,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,5223,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,5752,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,6261,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrest,I46,All ages,22949,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,11,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,27,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,69,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,269,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,859,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,2110,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,3451,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,4845,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,11641,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,0-24,6,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,25-34,45,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,35-44,93,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,45-54,317,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,55-64,1047,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,65-74,2120,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,75-84,3390,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,85+,5201,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Heart failure,I50,All ages,12219,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,6,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,26,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,96,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,324,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1021,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,2054,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,2637,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,2855,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,9020,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,48,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,112,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,247,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,590,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1377,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2322,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,2581,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,3113,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,10390,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,0-24,42,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,25-34,154,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,35-44,418,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,45-54,1274,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,55-64,2925,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,65-74,4665,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,75-84,4238,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,85+,3149,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Sepsis,Sepsis,A40-A41,All ages,16865,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,31,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,40,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,104,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,321,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1167,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2239,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,2556,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,2097,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,8555,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,0-24,50,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,25-34,202,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,35-44,700,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,45-54,2075,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,55-64,5048,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,65-74,8218,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,75-84,8130,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,85+,6023,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Diabetes,Diabetes,E10-E14,All ages,30447,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,0-24,94,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,25-34,332,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,35-44,746,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,45-54,1213,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,55-64,1708,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,65-74,1656,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,75-84,851,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,85+,246,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,Not stated,1,
09/20/2020,02/01/2020,09/19/2020,US,Obesity,Obesity,E65-E68,All ages,6847,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,54,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,438,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,1949,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,4169,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Alzheimer disease,Alzheimer disease,G30,All ages,6612,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,24,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,315,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,1990,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,6253,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,12513,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,21097,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,0-24,22,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,25-34,134,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,35-44,347,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,45-54,1061,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,55-64,2479,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,65-74,4221,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,75-84,4282,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,85+,3801,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
09/20/2020,02/01/2020,09/19/2020,US,Renal failure,Renal failure,N17-N19,All ages,16349,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,50,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,165,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,215,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,382,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,745,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1195,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1468,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1932,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
09/20/2020,02/01/2020,09/19/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,6152,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,312,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,838,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1884,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,5062,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,12483,
09/20/2020,02/01/2020,09/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,21625,
