Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Status,Comment,Source,,
United States of America,USA,Alabama,Alabama,3/30/20,Risk communication,Educate and actively communicate with the public,Direct government communication,Promote social distancing measures,,"Video: Gov. Ivey reminds Alabamians to practice social distancing during the Coronavirus pandemic. Learn more at governor.alabama.gov. (Governor’s Office, Lori Davis Jhons)",https://governor.alabama.gov/newsroom/2020/03/gov-ivey-reminds-alabamians-to-practice-social-distancing/,,
United States of America,USA,Alabama,Alabama,4/1/20,Risk communication,Actively communicate with managers,Provides recommendation for business continuity,Encourage small businesses to take financial advice,,"Governor Ivey urges Alabama Small Business Owners To Prepare Now by Applying for Federal Financial Relief. Governor Kay Ivey on Wednesday urges Alabama Small Business Owners to respond to the COVID-19 (Coronavirus) pandemic by taking steps to ensure their business will withstand the troubling economy. Final guidelines for how the federal government will distribute financial relief to Alabama’s small businesses will be released very soon. In the meantime, Small Business Owners need to contact their local banker, accountant, financial advisor or credit union today to get the latest details about who is eligible, what documents are needed and how best to apply for funding relief caused by the coronavirus.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-urges-alabama-small-business-owners-to-prepare-now-by-applying-for-federal-financial-relief/,,
United States of America,USA,Alabama,Alabama,4/2/20,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,Expanded scope of practice of nurses/ physician assistant/anaesthesists/midwifes,,"Cutting red tape for health care workers: Because of an anticipated surge of COVID-19 patients requiring treatment by health care facilities, I find that it would promote the safety and protection of the civilian population to adopt measures that expand the capacity of the health care workforce. To that end: Expanded scope of practice for certain health care professionals (certified registered nurse practionners, midwives, anesthetists, physician assitants, anesthesia assitants may practive in a licensed health care facility during the period of public health emergency, physicians practicing outside a licensed health care facility shall have temporary emergency approval for collaboration agreements), practice by out-of-state health care practitionners is possible, expedited reinstatement of medical licences",https://governor.alabama.gov/newsroom/2020/04/fifth-supplemental-state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,4/3/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Suspend evictions and foreclosures,,"Protection against evictions: grant temporary relief from residential evictions and foreclosures. All state, county, and local law enforcement officers are hereby directed to cease enforcement of any order that would result in the displacemnt of a person from his or her place of residence, for the duration of state of emergency",https://governor.alabama.gov/newsroom/2020/04/sixth-supplemental-state-of-emergency-coronavirus-covid-19/,,
United States of America,USA,Alabama,Alabama,4/4/20,Travel restriction,National lockdown,Stay-at-home Order,,,"Governor Ivey Issues Stay at Home Order: Governor Kay Ivey on Friday issued a Stay at Home order to be applied statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-issues-stay-at-home-order/,,
United States of America,USA,Alabama,Alabama,4/6/20,Risk communication,Educate and actively communicate with the public,Answer to questions,Official webpage with COVID-19 information,,"Governor Kay Ivey on Monday announced the launch of altogetheralabama.org, an online resource that will serve as a hub of information for the state’s response to the coronavirus crisis. The site becomes the state’s official guide to COVID-19 relief efforts, to help empower those impacted by the outbreak and those who want to offer support. The website is designed to be a comprehensive guide to aid in navigating all issues related to the COVID-19 response. Individuals and business owners can seek help and identify state and federal resources that can provide a lifeline in the form of low-interest loans and financial assistance. At the same time, the site will function as a pathway for Alabama’s good corporate citizens and the general public to offer support and solutions that can help spark recovery across the state. It will act as a portal for companies, non-profits and individuals to volunteer, make donations of supplies, offer an assistance program, and even post job openings.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-launches-states-guide-to-covid-19-relief-efforts/,,
United States of America,USA,Alabama,Alabama,4/12/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,Statewide,,"Declare State of emergency in the context of a severe weather forecast that poses a danger to the health and safety of the people of Alabama and a high risk of physical injury or death (potential strong winds, flooding, hail, tornadoes), couples with Covid-19 restrictions",https://governor.alabama.gov/newsroom/2020/04/state-of-emergency-severe-weather/,,
United States of America,USA,Alabama,Alabama,4/12/20,Resource allocation,Police and army interventions,To support the population,In affected areas,,Activation of the Alabama National Guard and other state agencies: to assist the affected communities and entities to and recovering from this event.,https://governor.alabama.gov/newsroom/2020/04/state-of-emergency-severe-weather/,,
United States of America,USA,Alabama,Alabama,4/12/20,Resource allocation,Measures to ensure security of supply,Fixing price for necessity goods,Sale or rental of any commodity or rental facility,,Price gouging: prohibited for the sale or rental of any commodity or rental facility during the period of a declared state of emergency,https://governor.alabama.gov/newsroom/2020/04/state-of-emergency-severe-weather/,,
United States of America,USA,Alabama,Alabama,4/12/20,Resource allocation,Measures to ensure security of supply,Increase delivery capacity for necessity goods,Ease restrictions for transporters,,"Waiver of federal motor-carrier regulations: ease regulations for transportation on materials, supplies, goods and services to face this severe weather event.",https://governor.alabama.gov/newsroom/2020/04/state-of-emergency-severe-weather/,,
United States of America,USA,Alabama,Alabama,4/13/20,Social distancing,Special measures for certain establishments,Decongestion of administrative institutions,Administrative hearing may be conducted by telephone or video conference without the parties being physically present,,"Governor Kay Ivey on Monday issued a supplemental emergency proclamation, which directs the Board of Pardons and Paroles to resume parole hearings, amidst the COVID-19 pandemic. Hearings will resume in a manner that reduces person-to-person interaction. At the same time, the Board of Pardons and Paroles will be preserving the right of crime victims, crime victim representatives, public officials and other interested parties to present their views to the Board. In the governor’s ongoing efforts to combat COVID-19, any provision of Alabama law allowing individuals to appear in person at a meeting of the Board is suspended. The Board of Pardons and Paroles will also allow views to be presented to them through written or emailed statements, as well as by phone",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-issues-supplemental-emergency-proclamation-to-allow-parole-hearings-to-resume/,,
United States of America,USA,Alabama,Alabama,4/16/20,Healthcare and public health capacity,Enhance laboratory testing capacity,Increase laboratory facilities,Drive-in testing facilities,,"Governor Ivey Launches New COVID-19 Drive-Thru Testing Sites: Governor Kay Ivey on Thursday announced the launch of new COVID-19 drive-thru testing sites in Adamsville and Montgomery. The testing sites are supported by Walmart and Quest Diagnostics and will be available to anyone who may be exhibiting symptoms, as well as all health care workers and first responders. All appointments will be drive-thru, observed self-collection in the Walmart parking lots guided by Walmart pharmacist volunteers and Quest employees.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-launches-new-covid-19-drive-thru-testing-sites/,,
United States of America,USA,Alabama,Alabama,4/24/20,Risk communication,Actively communicate with managers,Direct government communication,To auto-insurers: share savings with consumers,,"Governor Ivey Announces Auto Insurers Return More Than $100 Million in Premium to Alabama Policyholders: Governor Kay Ivey announced today that automobile insurers are returning premium totaling to date more than $100 million, to more than two million Alabama policyholders during the ongoing crisis brought on by COVID-19. Because most drivers are following the governor’s stay-at-home order, there are fewer miles being traveled resulting in fewer accidents. As a result, many auto insurers are now sharing their savings with consumers. This is good news for Alabama insurance consumers,” Governor Ivey said. “I want to thank automobile insurance companies for stepping up to the plate during this difficult time and supporting their policyholders. Here in Alabama, the economic impact is greater than $100 million in payments returned to the pockets of consumers at a time when it is badly needed.” The governor continued, “The list includes many of the top automobile insurers operating in our state. It is my hope that all the others will follow suit, giving needed help to their policyholders in this time of crisis brought on by the ongoing COVID-19 pandemic.”",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-announces-auto-insurers-return-more-than-100-million-in-premium-to-alabama-policyholders/,,
United States of America,USA,Alabama,Alabama,4/28/20,Travel restriction,National lockdown,Safer-at-home Order,,,"Governor Kay Ivey on Tuesday issued a Safer at Home order to be applied Statewide. The order will be effective Thursday, April 30, 2020 at 5:00 p.m. and will expire on Friday, May 15, 2020 at 5:00 p.m.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-issues-safer-at-home-order/,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Encourage stay at home,,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,Recommendations for hand washing,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Promote the use of face masks,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for not touching eyes/nose/mouth,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for sneezing/coughing in the elbow,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Educate and actively communicate with the public,Encourage environmental disinfection,Disinfecting frequently used items and surfaces as much as possible,,"Recommendations for individuals. Effective April 30, 2020, at 5:00 P.M., all individuals—and especially vulnerable persons—are encouraged to exercise personal responsibility in slowing the spread of COVID-19 by Minimizing travel outside the home, especially if sick, Wearing face coverings around people from other households when it is necessary to leave the home, Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces,Refraining from touching one’s face, Sneezing or coughing into a tissue, or the inside of one’s elbow, and Disinfecting frequently used items and surfaces as much as possible. “Vulnerable persons” means individuals 65 years and older or individuals with serious underlying health conditions, including high blood pressure, chronic lung disease, diabetes, obesity, asthma, and those whose immune system is compromised such as by chemotherapy for cancer and other conditions requiring such therapy.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,"Case identification, contact tracing and related measures",Isolation of cases,Place of residence,,,"Quarantine for infected persons. Effective immediately, any person who has tested positive for COVID-19—other than institutionalized persons—shall be quarantined to their place of residence for a period of 14 days, or other period of time as directed by the State Health Officer, or his designee, after receiving positive test results. Any person quarantined pursuant to this provision shall not leave their place of residence for any reason other than to seek necessary medical treatment. Any person requiring assistance while under quarantine may contact Alabama Voluntary Organizations Active in Disaster, http://alvoad.communityos.org/cms. While under quarantine, the person shall take precautions as directed by his or her health care provider or the Alabama Department of Public Health to prevent the spread of the disease to others",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Risk communication,Actively communicate with managers,Recommendations for work safety protocols,"Implement social distancing, protective and disinfection measures",,"Protections for employees. Effective April 30, 2020, at 5:00 P.M., and unless otherwise permitted or required by this order, all employers shall take reasonable steps, where practicable as work duties permit, to protect their employees by: avoiding gatherings of 10 employees or more, maintaining six feet of separation between employees, regularly disinfecting frequently used items and surfaces, encouraging handwashing, preventing employees who are sick from coming into contact with other persons, facilitating remote working arrangements, minimizing employee travel",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Social distancing,Special measures for certain establishments,Establishments open to the public,Mandatory social distancing and hygienic measures,,"Protections for customers, etc. Effective April 30, 2020, at 5:00 P.M., and unless otherwise permitted or required by this order, the operator of any business, government office, or other establishment open to the public shall take reasonable steps, where practicable, to protect their customers, constituents, or other guests by: avoiding gatherings of 10 or more such persons, maintaining six feet of separation between such persons (except for those persons who share the same household), regularly disinfecting frequently used items and surfaces",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Social distancing,Special measures for certain establishments,Non-essential shops,Closure on week-end,,"Retailers. Effective April 30, 2020, at 5:00 P.M., all retail stores shall comply with the following rules: Emergency maximum occupancy rate. Occupancy shall be limited to no more than 50 percent of the normal occupancy load as determined by the fire marshal. This “emergency maximum occupancy rate” shall be posted in a conspicuous place, and enough staff shall be posted at the store entrances and exits to enforce this requirement.Social distancing. An employee of the retail store may not knowingly allow customers or patrons to congregate within six feet of one another. Sanitation. The retail store shall take reasonable steps to comply with guidelines on sanitation from the Centers for Disease Control and Prevention (“the CDC”) and the Alabama Department of Public Health.",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
United States of America,USA,Alabama,Alabama,4/30/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,"Medical procedures. Effective April 30, 2020, at 5:00 P.M., dental, medical, or surgical procedures may proceed unless the State Health Officer or his designee determines that performing such procedures, or any category of them (whether statewide or regionally), would unacceptably reduce access to personal protective equipment or other resources necessary to diagnose and treat COVID-19. Providers performing these procedures shall follow all applicable COVID-19-related rules adopted by a state regulatory board or by the Alabama Department of Public Health. In the absence of such rules, providers should take reasonable steps to comply with applicable COVID-19-related guidelines from the Centers for Medicare and Medicaid Services (CMS) and the CDC, including “Re-opening Facilities to Provide Non-emergent Non-COVID-19 Healthcare: Phase I” from CMS, available at",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,,
